time,latitude,longitude,number,expver,Star_Event,PM25,PM10,Ratio
2025-10-15 02:00:00,55.899999999999956,-3.600000000000014,0,0001,1.0,5.5668806379448e-08,5.6596732485771716e-08,0.9836045993192806
2025-10-15 03:00:00,55.99999999999996,-3.600000000000014,0,0001,1.0,6.207845082428265e-08,6.296486798617655e-08,0.9859220357281062
2025-10-15 03:00:00,55.99999999999996,-3.5000000000000138,0,0001,1.0,5.953893322807164e-08,6.040324729283517e-08,0.9856909337908054
2025-10-15 03:00:00,55.899999999999956,-3.600000000000014,0,0001,1.0,5.3025487445341144e-08,5.3945695688279436e-08,0.9829419524357302
2025-10-15 03:00:00,55.899999999999956,-3.5000000000000138,0,0001,1.0,5.093538787969791e-08,5.183302276278819e-08,0.9826821814502645
2025-10-15 04:00:00,55.99999999999996,-3.600000000000014,0,0001,1.0,5.8749750545904555e-08,5.961362011437647e-08,0.985508855747823
2025-10-15 04:00:00,55.99999999999996,-3.5000000000000138,0,0001,1.0,5.6329351701592874e-08,5.7171690788963106e-08,0.9852665003300402
2025-10-15 04:00:00,55.899999999999956,-3.600000000000014,0,0001,1.0,5.0382168511234294e-08,5.129465889078716e-08,0.9822108110418343
2025-10-15 04:00:00,55.899999999999956,-3.5000000000000138,0,0001,1.0,4.839988125097063e-08,4.9289324769807335e-08,0.9819546418420091
2025-10-15 05:00:00,55.99999999999996,-3.700000000000014,0,0001,1.0,5.537146611592753e-08,5.626077707413512e-08,0.9841930559004591
2025-10-15 05:00:00,55.99999999999996,-3.600000000000014,0,0001,1.0,5.5421050267526436e-08,5.626237224257638e-08,0.9850464539350995
2025-10-15 05:00:00,55.899999999999956,-3.600000000000014,0,0001,1.0,4.7738849577127404e-08,4.8643622093294876e-08,0.9813999764566835
2025-10-15 05:00:00,54.69999999999994,-6.800000000000004,0,0001,1.0,1.6731932441413375e-08,1.7254005483618095e-08,0.9697419220887344
2025-10-15 05:00:00,54.59999999999994,-6.800000000000004,0,0001,1.0,1.797629872735226e-08,1.8508361288028652e-08,0.9712528541886346
