time,latitude,longitude,number,expver,Axis_Type,PM25_Center,PM10_Center,PM25_In_Step1,PM10_In_Step1,PM25_Out_Step1,PM10_Out_Step1,PM25_In_Step2,PM10_In_Step2,PM25_Out_Step2,PM10_Out_Step2,PM25_In_Step3,PM10_In_Step3,PM25_Out_Step3,PM10_Out_Step3
2025-06-30 12:00:00,54.89999999999994,-7.500000000000002,0,0001,1.0,5.379175327390713e-09,7.27559412716423e-09,5.37917532739097e-09,7.275594127164629e-09,5.379175327390706e-09,7.27559412716422e-09,5.708892136801712e-09,7.787357203525325e-09,5.2440715103679605e-09,7.104845711757475e-09,6.038608946212455e-09,8.299120279886022e-09,5.108967693345216e-09,6.934097296350731e-09
2025-06-30 12:00:00,54.89999999999994,-7.400000000000002,0,0001,1.0,5.166201244576837e-09,6.932626472887633e-09,5.1662012445771555e-09,6.9326264728881214e-09,5.166201244576837e-09,6.932626472887633e-09,5.5721391944982115e-09,7.555677417058825e-09,5.16620124457683e-09,6.932626472887625e-09,5.978077144419267e-09,8.178728361229528e-09,5.1896805741685205e-09,6.98913737995258e-09
2025-06-30 12:00:00,54.89999999999994,-7.3000000000000025,0,0001,1.0,4.953227161762962e-09,6.589658818611038e-09,4.953227161763339e-09,6.589658818611614e-09,4.953227161762962e-09,6.589658818611039e-09,5.435386252194709e-09,7.3239976305923245e-09,5.111810308377397e-09,6.8169181410827385e-09,5.91754534262608e-09,8.058336442573035e-09,5.2703934549918355e-09,7.044177463554446e-09
2025-06-30 12:00:00,54.89999999999994,-7.200000000000003,0,0001,1.0,4.740253078949087e-09,6.246691164334444e-09,4.740253078949523e-09,6.246691164335104e-09,4.898836225563521e-09,6.473950486806143e-09,5.298633309891208e-09,7.0923178441258235e-09,5.057419372177967e-09,6.701209809277859e-09,5.8570135408328926e-09,7.937944523916543e-09,5.216002518792414e-09,6.928469131749576e-09
2025-06-30 12:00:00,54.89999999999994,-7.100000000000003,0,0001,1.0,4.844445289364081e-09,6.358242155001248e-09,4.844445289364522e-09,6.358242155001918e-09,4.844445289364092e-09,6.358242155001265e-09,5.408524739180822e-09,7.216014119570532e-09,5.003028435978538e-09,6.585501477472979e-09,5.972604188997123e-09,8.073786084139144e-09,5.161611582592984e-09,6.812760799944696e-09
2025-06-30 12:00:00,54.89999999999994,-7.0000000000000036,0,0001,1.0,4.948637499779098e-09,6.469793145668085e-09,4.9486374997795436e-09,6.469793145668764e-09,4.948637499779098e-09,6.4697931456680845e-09,5.518416168470455e-09,7.339710395015264e-09,4.9486374997791085e-09,6.4697931456681e-09,6.088194837161365e-09,8.209627644361765e-09,5.024978488865066e-09,6.533115715078521e-09
2025-06-30 12:00:00,54.89999999999994,-6.900000000000004,0,0001,1.0,5.0528297101941144e-09,6.581344136334921e-09,5.0528297101945644e-09,6.58134413633561e-09,5.0528297101941144e-09,6.581344136334921e-09,5.628307597760086e-09,7.463406670459998e-09,4.970587552665626e-09,6.417407383273626e-09,6.203785485325608e-09,8.345469204584384e-09,4.8883453951371414e-09,6.253470630212333e-09
2025-06-30 12:00:00,54.79999999999994,-7.9,0,0001,1.0,4.87012030703209e-09,6.761630366724757e-09,5.032371963586667e-09,6.996200285768821e-09,4.870120307032099e-09,6.761630366724768e-09,5.194623620141369e-09,7.230770204813071e-09,5.150190052205294e-09,7.129011603268142e-09,5.3568752766960734e-09,7.46534012385732e-09,5.430259797378489e-09,7.496392839811514e-09
2025-06-30 12:00:00,54.79999999999994,-7.800000000000001,0,0001,1.0,4.865678526755169e-09,6.651569961490777e-09,5.058344854091631e-09,6.941441643703614e-09,4.865678526755169e-09,6.651569961490778e-09,5.251011181428244e-09,7.231313325916678e-09,4.865678526755179e-09,6.65156996149079e-09,5.443677508764856e-09,7.521185008129742e-09,5.020307281000497e-09,6.871414548470217e-09
2025-06-30 12:00:00,54.79999999999994,-7.700000000000001,0,0001,1.0,4.861236746478248e-09,6.541509556256799e-09,5.084317744596595e-09,6.886683001638407e-09,4.861236746478248e-09,6.541509556256799e-09,5.307398742715116e-09,7.231856447020285e-09,4.735795755550371e-09,6.393972906692853e-09,5.530479740833638e-09,7.577029892402163e-09,4.610354764622498e-09,6.24643625712891e-09
