time,latitude,longitude,number,expver,Star_Event,PM25_Step0,PM10_Step0,PM25_Step1,PM10_Step1,PM25_Step2,PM10_Step2,PM25_Step3,PM10_Step3
2025-06-18 16:00:00,51.09999999999989,0.39999999999998836,0,0001,1.0,1.197291051487781e-08,1.337428982377045e-08,1.1807807167217605e-08,1.3228949463653028e-08,1.1976084401956343e-08,1.3407820057914719e-08,1.214436163669502e-08,1.3586690652176722e-08
2025-06-18 16:00:00,50.79999999999988,-3.3000000000000136,0,0001,1.0,6.2169746388003655e-09,7.726788024226513e-09,6.443313955302168e-09,8.09535027207668e-09,6.682487635006105e-09,8.47299500469159e-09,6.92166131471005e-09,8.850639737306514e-09
2025-06-18 16:00:00,50.79999999999988,-3.2000000000000135,0,0001,1.0,5.964683857941308e-09,7.392533992366527e-09,6.223743469666315e-09,7.807563040531465e-09,6.482803081391695e-09,8.222592088697013e-09,6.7418626931170725e-09,8.637621136862559e-09
2025-06-18 16:00:00,50.79999999999988,-3.1000000000000134,0,0001,1.0,5.763730529889433e-09,7.094609899563311e-09,6.01443696235508e-09,7.506073466484752e-09,6.277977758022897e-09,7.926619518170999e-09,6.541518553690716e-09,8.347165569857247e-09
2025-06-18 16:00:00,50.79999999999988,-3.0000000000000133,0,0001,1.0,5.562777201837567e-09,6.796685806760102e-09,5.817964818245642e-09,7.213666377202227e-09,6.0731524346541e-09,7.630646947644975e-09,6.3437707818297314e-09,8.064441420210072e-09
2025-06-18 16:00:00,50.59999999999988,-4.600000000000012,0,0001,1.0,1.0465403432746566e-08,1.3831046308254101e-08,1.0465403432746566e-08,1.3831046308254103e-08,1.0465403432747069e-08,1.3831046308255102e-08,1.0893940786497804e-08,1.4558592137392894e-08
2025-06-18 16:00:00,50.59999999999988,-4.500000000000012,0,0001,1.0,1.0446848978477598e-08,1.3608986345244335e-08,1.0446848978477597e-08,1.3608986345244335e-08,1.0388673310491242e-08,1.356693942374498e-08,1.0741737818675972e-08,1.4214862671206421e-08
2025-06-18 16:00:00,50.59999999999988,-4.400000000000013,0,0001,1.0,1.0428294524208627e-08,1.3386926382234565e-08,1.0370118856221924e-08,1.3344879460734376e-08,1.0311943188235422e-08,1.3302832539234872e-08,1.068876887000424e-08,1.4000974971987811e-08
2025-06-18 16:00:00,50.59999999999988,-4.300000000000013,0,0001,1.0,1.0177037397992839e-08,1.2996678733224031e-08,1.0177037397992827e-08,1.2996678733224024e-08,1.0118861730006241e-08,1.2954631811724373e-08,1.043832317341563e-08,1.3568433848698894e-08
2025-06-18 16:00:00,50.59999999999988,-4.2000000000000135,0,0001,1.0,9.925780271777001e-09,1.2606431084213464e-08,9.925780271777003e-09,1.2606431084213464e-08,9.925780271777036e-09,1.2606431084213856e-08,1.0169143564257603e-08,1.3142187097840623e-08
2025-06-18 16:00:00,50.49999999999988,-4.700000000000012,0,0001,1.0,1.016282545155717e-08,1.3339611915074153e-08,1.0162825451557814e-08,1.3339611915075303e-08,1.0698777461182391e-08,1.4234115673176739e-08,1.1234729470806969e-08,1.5128619431278178e-08
2025-06-18 16:00:00,50.49999999999988,-4.600000000000012,0,0001,1.0,1.0368116106403421e-08,1.3403097557743413e-08,1.0368116106403906e-08,1.340309755774439e-08,1.0678431731451936e-08,1.4028660437019516e-08,1.1020811323722016e-08,1.4736725876633658e-08
2025-06-18 16:00:00,50.49999999999988,-4.500000000000012,0,0001,1.0,1.057340676124967e-08,1.3466583200412674e-08,1.0573406761250023e-08,1.3466583200413511e-08,1.069014996894353e-08,1.390570776120131e-08,1.0806893176637039e-08,1.4344832321989117e-08
2025-06-18 17:00:00,54.499999999999936,-6.400000000000006,0,0001,1.0,8.680792751292046e-09,1.1787224307724261e-08,8.669785442801468e-09,1.1781608345168196e-08,8.702022313381826e-09,1.1831831465969234e-08,8.73425918396219e-09,1.1882054586770276e-08
2025-06-18 17:00:00,54.499999999999936,-6.300000000000006,0,0001,1.0,8.812311907968434e-09,1.1977309010332015e-08,8.812311907968484e-09,1.1977309010332083e-08,8.86293157325659e-09,1.2056079915639833e-08,8.913551238544696e-09,1.2134850820947581e-08
2025-06-18 17:00:00,54.399999999999935,-0.8000000000000116,0,0001,1.0,7.501511227007773e-09,9.604008810448744e-09,7.722225773184286e-09,9.853709482624673e-09,7.942940319360969e-09,1.0103410154800801e-08,8.163654865537653e-09,1.0353110826976933e-08
2025-06-18 17:00:00,54.19999999999993,-0.6000000000000116,0,0001,1.0,8.314066842393042e-09,9.916494930761781e-09,8.314066842393043e-09,9.916494930761781e-09,8.314066842392833e-09,9.916494930761616e-09,8.428262157633515e-09,1.0180845733583065e-08
2025-06-18 17:00:00,53.99999999999993,-0.4000000000000117,0,0001,1.0,9.475818167162488e-09,1.0593671162516846e-08,9.222017415914039e-09,1.0409544439389392e-08,8.968216664665328e-09,1.0225417716261725e-08,8.714415913416616e-09,1.0041290993134054e-08
2025-06-18 17:00:00,53.99999999999993,-0.3000000000000117,0,0001,1.0,9.835214892505425e-09,1.1093127296375226e-08,9.528720907799874e-09,1.0839559288349608e-08,9.259136988375971e-09,1.064555830524745e-08,8.989553068952068e-09,1.0451557322145285e-08
2025-06-18 17:00:00,53.799999999999926,-0.3000000000000117,0,0001,1.0,8.135306590420595e-09,9.17647577832282e-09,8.135306590420597e-09,9.176475778322824e-09,8.146733175792997e-09,9.206842079231889e-09,7.920477003430836e-09,9.075208681184687e-09
2025-06-18 17:00:00,52.399999999999906,0.9999999999999882,0,0001,1.0,7.724794452249934e-09,9.066373041211074e-09,7.603101630920927e-09,8.943427127344928e-09,7.481408809591798e-09,8.82048121347866e-09,7.363558174091531e-09,8.72895326043806e-09
2025-06-18 17:00:00,52.399999999999906,1.0999999999999883,0,0001,1.0,8.480004522655834e-09,9.992721492861168e-09,8.312501781233485e-09,9.824260394202654e-09,8.01461529203119e-09,9.530353112010567e-09,7.71672880282889e-09,9.236445829818482e-09
2025-06-18 17:00:00,52.299999999999905,0.9999999999999882,0,0001,1.0,7.802837024654455e-09,9.223498353971878e-09,7.802837024654457e-09,9.223498353971878e-09,7.681144203325472e-09,9.100552440105756e-09,7.652232908671023e-09,9.11627397876019e-09
